Cost cache matrix +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 = 0.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M10 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M20 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M30 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M11 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M21 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M31 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M12 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M13 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M23 = 16.000000
